lat, lng, cleanRent, cleanBeds, listingDate
47.54466,-122.00958,2524.0,3.0,2016-10-21
47.4465,-122.1216,1798.0,2.0,2016-10-21
47.18275,-122.29073,1495.0,2.5,2016-10-21
47.50311,-122.33656,1415.0,2.0,2016-10-21
47.47815,-122.34888,1335.0,2.0,2016-10-21
47.717,-122.3015,2575.0,5.0,2016-10-21
47.57275,-122.28696,1750.0,2.0,2016-10-21
47.68577,-122.09811,1370.0,1.0,2016-10-21
47.6633,-122.3022,1250.0,1.0,2016-10-21
47.62814,-122.35659,2250.0,2.0,2016-10-21
47.62322,-122.32525,1060.0,0.0,2016-10-21
47.265055,-122.447798,1600.0,2.0,2016-10-21
47.61897,-122.31551,900.0,0.0,2016-10-21
47.61516,-122.31802,1970.0,1.0,2016-10-21
47.88764,-122.20794,1325.0,2.0,2016-10-21
47.49013,-122.24713,1115.0,2.0,2016-10-21
47.0315,-122.35945,1350.0,2.0,2016-10-21
47.50311,-122.33656,1230.0,1.0,2016-10-21
47.63325,-122.32501,1795.0,1.0,2016-10-21
47.49178,-122.35005,1200.0,1.0,2016-10-21
47.56025,-122.3829,2065.0,1.0,2016-10-21
47.65958,-122.34717,1850.0,2.0,2016-10-21
47.61802,-122.15791,2087.0,2.0,2016-10-21
47.70531,-122.34324,1650.0,2.0,2016-10-21
47.75268,-122.13939,2500.0,3.0,2016-10-21
47.3203,-122.3117,970.0,2.0,2016-10-21
47.4465,-122.1216,1000.0,2.0,2016-10-21
47.855898,-121.966524,1100.0,1.0,2016-10-21
47.49178,-122.35005,1415.0,2.0,2016-10-21
47.6342,-122.3404,1425.0,1.0,2016-10-21
47.89804,-122.25047,1034.0,0.0,2016-10-21
47.29066,-122.33369,1325.0,1.0,2016-10-21
47.58743,-122.18154,1900.0,2.0,2016-10-21
46.99927,-122.82159,940.0,2.0,2016-10-21
47.6041,-122.31848,2700.0,2.0,2016-10-21
47.28649,-122.36165,1399.0,2.0,2016-10-21
47.49178,-122.35005,1415.0,2.0,2016-10-21
47.57502,-122.38828,2229.0,2.0,2016-10-21
47.80419,-122.27651,4380.0,4.0,2016-10-21
47.6713,-122.66643,1725.0,3.0,2016-10-21
47.81361,-122.28368,1360.0,2.0,2016-10-21
47.44278,-122.14024,1195.0,1.0,2016-10-21
47.65417,-122.34232,1623.0,0.0,2016-10-21
47.65369,-122.66932,1351.0,,2016-10-21
47.29066,-122.33369,1275.0,2.0,2016-10-21
46.851388,-122.492238,1200.0,3.0,2016-10-21
47.37551,-122.25522,1539.0,2.0,2016-10-21
47.36022,-122.11246,1330.0,1.0,2016-10-21
47.8702,-122.21901,906.0,1.0,2016-10-21
47.61542,-122.32671,1675.0,1.0,2016-10-21
47.55566,-122.02203,2912.0,3.0,2016-10-21
47.67547,-122.12554,1807.0,1.0,2016-10-21
47.6302,-122.321,1000.0,0.0,2016-10-21
47.7559,-122.3003,1775.0,4.0,2016-10-21
47.653381,-122.390081,1700.0,1.0,2016-10-21
47.89804,-122.25047,1033.0,1.0,2016-10-21
47.72149,-122.35563,2400.0,3.0,2016-10-21
47.31867,-122.30237,1150.0,1.0,2016-10-21
47.61802,-122.15791,1852.0,1.0,2016-10-21
