lat,lng,cleanRent,cleanBeds,listingDate
47.60397,-122.29287,2750.0,2.0,2016-10-21
47.6062,-122.33774,3769.0,1.0,2016-10-21
47.54644,-122.3871,1895.0,2.0,2016-10-21
47.61472,-122.31168,1415.0,0.0,2016-10-21
47.60351,-122.33657,2076.0,1.0,2016-10-21
47.60351,-122.33657,2020.0,1.0,2016-10-21
47.6768,-122.31726,1616.0,1.0,2016-10-21
47.62818,-122.32431,2950.0,2.0,2016-10-21
47.6768,-122.31726,2224.0,2.0,2016-10-21
47.72787,-122.29504,1815.0,2.0,2016-10-21
47.7467,-122.3686,2500.0,3.0,2016-10-21
47.6302,-122.321,1075.0,1.0,2016-10-21
47.6211,-122.35552,1610.0,0.0,2016-10-21
47.65049,-122.322,2295.0,2.0,2016-10-21
47.67008,-122.37654,1500.0,0.0,2016-10-21
47.62336,-122.32296,1500.0,1.0,2016-10-21
47.46407,-122.32452,1440.0,2.0,2016-10-21
47.62351,-122.33181,2404.0,1.0,2016-10-21
47.62265,-122.31921,1895.0,1.0,2016-10-21
47.60166,-122.32627,1530.0,1.0,2016-10-21
47.60746,-122.30341,1875.0,1.0,2016-10-21
47.62314,-122.32394,1595.0,0.0,2016-10-21
47.70748,-122.31792,1749.0,2.0,2016-10-21
47.62265,-122.31921,2195.0,1.0,2016-10-21
47.59352,-122.30853,1345.0,0.0,2016-10-21
47.6488,-122.3964,2400.0,3.0,2016-10-21
47.59352,-122.30853,2085.0,2.0,2016-10-21
47.62322,-122.323937,1595.0,0.0,2016-10-21
47.63634,-122.37044,1800.0,2.0,2016-10-21
47.61783,-122.307324,2200.0,1.0,2016-10-21
47.60351,-122.33657,2231.0,1.0,2016-10-21
47.60351,-122.33657,4021.0,2.0,2016-10-21
47.60351,-122.33657,3940.0,2.0,2016-10-21
47.61992,-122.34573,2295.0,1.0,2016-10-21
47.6342,-122.3404,1650.0,1.0,2016-10-21
47.61307,-122.30877,2950.0,2.0,2016-10-21
47.62548,-122.34486,1809.0,1.0,2016-10-21
47.6733,-122.3426,2375.0,2.0,2016-10-21
47.53158,-122.34923,2000.0,2.0,2016-10-21
47.60873,-122.32907,1100.0,0.0,2016-10-21
47.65958,-122.34717,1475.0,1.0,2016-10-21
47.63664,-122.34681,1400.0,1.0,2016-10-21
47.61303,-122.31981,2503.0,1.0,2016-10-21
47.62962,-122.35653,1250.0,1.0,2016-10-21
47.61277,-122.34568,2119.0,1.0,2016-10-21
47.60213,-122.32452,1725.0,0.0,2016-10-21
47.62111,-122.35813,2000.0,1.0,2016-10-21
47.65011,-122.322,1395.0,0.0,2016-10-21
47.61534,-122.32438,2150.0,1.0,2016-10-21
47.46214,-122.32858,1195.0,1.0,2016-10-21
47.60873,-122.32907,1150.0,0.0,2016-10-21
47.56106,-122.36296,3080.0,3.0,2016-10-21
47.57502,-122.38828,2129.0,2.0,2016-10-21
47.56442,-122.37289,1797.0,2.0,2016-10-21
47.62514,-122.32669,3395.0,2.0,2016-10-21
47.63607,-122.35686,2172.0,1.0,2016-10-21
47.46214,-122.32858,1145.0,1.0,2016-10-21
47.62939,-122.36855,1495.0,1.0,2016-10-21
47.66752,-122.38483,1450.0,1.0,2016-10-21
47.60565,-122.31651,1465.0,1.0,2016-10-21
47.73904,-122.34371,1575.0,1.0,2016-10-21
47.6037,-122.31931,975.0,,2016-10-21
47.66506,-122.37869,1390.0,0.0,2016-10-21
47.60894,-122.32644,1200.0,0.0,2016-10-21
47.6041,-122.31848,1725.0,1.0,2016-10-21
47.72116,-122.294,1300.0,1.0,2016-10-21
47.62514,-122.32669,1395.0,0.0,2016-10-21
47.61898,-122.35684,2350.0,2.0,2016-10-21
47.74542,-122.35187,2940.0,5.0,2016-10-21
47.64708,-122.32344,2900.0,2.0,2016-10-21
47.63309,-122.34118,1600.0,0.0,2016-10-21
47.61303,-122.31981,3553.0,2.0,2016-10-21
47.6185,-122.35499,1310.0,0.0,2016-10-21
47.61992,-122.34573,2695.0,2.0,2016-10-21
47.61992,-122.34573,2120.0,1.0,2016-10-21
47.49178,-122.35005,1365.0,2.0,2016-10-21
47.67802,-122.38744,2000.0,2.0,2016-10-21
47.61958,-122.31116,1895.0,1.0,2016-10-21
47.5413,-122.3129,1300.0,2.0,2016-10-21
47.62522,-122.326537,1895.0,1.0,2016-10-21
